bigram,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,Total
climate change,20,53,19,29,22,22,7,172
greenhouse gas,3,23,5,6,5,9,2,53
natural gas,4,5,3,7,3,0,0,22
gas emissions,2,20,6,5,3,6,2,44
fossil fuels,6,10,3,8,7,5,2,41
renewable energy,4,6,6,5,7,4,1,33
global warming,2,21,3,9,2,4,2,43
united nations,1,18,5,4,3,7,1,39
colorado river,2,1,0,1,3,3,0,10
fossil fuel,1,10,4,5,7,1,1,29
climate conference,1,16,3,3,1,0,0,24
developing countries,1,13,1,0,1,2,0,18
los angeles,0,1,2,3,4,4,0,14
biden administration,2,5,7,2,2,7,0,25
clean energy,1,11,3,4,4,3,1,27
federal government,6,6,3,5,6,2,0,28
gas stoves,0,1,0,4,1,0,0,6
sea level,6,13,0,3,3,3,1,29
extreme weather,7,8,0,4,4,5,1,29
weather service,2,2,0,7,7,2,1,21
white house,4,5,0,2,1,4,0,16
level rise,6,10,0,3,3,2,1,25
president biden,3,5,1,3,0,6,0,18
responsible solar,0,0,0,0,1,0,0,1
heat pumps,0,0,0,0,0,1,1,2
world leaders,0,13,0,1,1,4,1,20
hurricane ian,5,4,1,2,1,0,0,13
national weather,2,3,0,6,6,2,1,20
carbon dioxide,2,5,1,2,4,2,1,17
puerto rico,1,2,0,3,1,0,0,7
english language,0,1,2,2,1,0,0,6
language spoken,0,1,2,2,1,0,0,6
low income,0,8,1,6,1,2,0,18
carbon emissions,5,9,1,3,3,1,0,22
coal plants,0,2,2,1,1,1,0,7
power plants,1,4,3,3,5,3,0,19
degrees celsius,1,7,1,4,1,3,1,18
heat waves,0,11,1,2,1,5,0,20
salt lake,0,0,0,1,2,0,0,3
el sheikh,1,13,0,2,0,0,0,16
electric vehicles,1,1,4,4,2,3,1,16
sharm el,1,13,0,2,0,0,0,16
climate action,4,8,1,4,1,3,0,21
al jaber,0,0,0,3,0,1,0,4
alabama power,0,0,1,0,0,0,0,1
climate crisis,0,9,3,0,4,2,0,18
climate scientists,1,5,0,4,2,2,2,16
heat pump,0,0,0,0,0,1,1,2
income countries,0,9,0,0,2,1,0,12
inflation reduction,1,6,5,2,0,3,2,19
reduction act,1,6,5,2,0,3,2,19
southern california,1,0,1,4,3,4,0,13
u.n climate,2,14,0,2,0,0,0,18
climate activists,1,2,1,3,1,3,0,11
cultivated meat,0,2,0,0,0,0,0,2
gas stove,0,0,0,4,1,0,0,5
heavy rain,1,6,0,4,2,3,0,16
washington d.c,2,4,0,1,3,3,0,13
rising seas,2,5,1,1,3,1,0,13
upside foods,0,2,0,0,0,0,0,2
atmospheric rivers,0,0,0,4,1,7,1,13
climate goals,0,7,2,2,1,3,0,15
climate policy,0,7,1,1,1,0,2,12
northern bangladesh,0,0,0,0,0,1,0,1
winter storm,1,0,0,4,6,1,0,12
european union,1,8,0,1,0,4,1,15
public health,0,4,2,3,1,1,1,12
climate scientist,1,2,0,6,1,4,1,15
dead sea,0,1,0,0,0,0,0,1
degrees fahrenheit,0,1,1,5,3,2,1,13
planet money,0,5,3,1,0,0,0,9
told npr,2,3,2,0,1,5,2,15
fort myers,3,1,0,1,1,0,0,6
ice sheets,1,2,0,0,0,0,0,3
international climate,0,7,0,0,0,2,0,9
polar bears,0,0,1,1,0,2,0,4
president joe,3,3,1,2,2,2,1,14
san francisco,0,3,0,4,1,1,1,10
sierra nevada,0,0,1,2,3,4,0,10
executive director,0,1,1,3,5,3,2,15
florida power,0,0,1,0,0,0,0,1
kirk siegler,2,0,0,0,4,0,0,6
national park,3,1,2,0,0,1,0,7
population growth,0,1,0,0,4,2,0,7
water supply,1,1,0,1,3,3,0,9
joe biden,2,4,1,2,2,1,1,13
power light,0,0,1,0,0,0,0,1
sea levels,2,4,2,0,2,2,0,12
sheikh egypt,0,10,0,1,0,0,0,11
tropical storm,2,3,0,0,0,0,0,5
willow project,0,0,0,0,0,3,0,3
abu dhabi,0,0,0,3,0,1,0,4
aerial view,2,2,2,1,0,1,0,8
air quality,0,1,1,2,3,1,1,9
atmospheric administration,1,1,1,5,2,3,0,13
atmospheric river,0,0,0,5,1,2,0,8
coffee pods,0,0,0,1,0,0,0,1
coral reefs,0,2,3,0,0,1,0,6
cut emissions,0,4,2,1,2,2,1,12
energy transition,1,4,0,0,3,3,0,11
global climate,0,9,0,1,1,0,0,11
heavy snow,0,0,0,2,3,1,0,6
human caused,0,1,0,2,1,5,3,12
human rights,2,3,1,0,2,0,0,8
sea ice,1,1,3,0,1,0,0,6
short wave,1,1,1,2,0,4,0,9
storm surge,4,4,0,0,1,0,1,10
walaa alshaer,0,0,0,0,1,0,0,1
water resources,0,0,1,3,2,3,0,9
weather events,1,4,0,2,2,2,0,11
air pollution,0,1,1,3,3,2,0,10
bottom image,0,1,0,0,0,0,0,1
development banks,1,2,0,0,0,0,0,3
drinking water,1,1,1,2,0,3,1,9
energy prices,0,3,2,1,0,2,0,8
gas industry,1,2,0,2,2,0,1,8
hurricane maria,1,1,0,2,0,0,0,4
low lying,2,2,0,2,2,2,0,10
methane emissions,1,4,1,1,0,0,0,7
million acres,1,0,1,0,0,2,1,5
million people,4,3,0,1,0,3,0,11
national oceanic,1,1,1,5,2,2,0,12
piedmont lithium,0,1,0,0,0,0,0,1
prime minister,1,5,0,0,1,1,0,8
rebecca hersher,1,1,1,3,1,2,0,9
river basin,3,1,0,1,0,0,0,5
short term,2,2,1,4,1,1,0,11
solar panels,0,2,1,2,1,0,0,6
top image,0,1,0,0,0,0,0,1
tyrone turner,0,1,0,0,0,0,0,1
vice president,2,3,0,2,1,1,0,9
warning systems,0,4,0,0,0,1,0,5
water levels,0,1,0,2,0,2,0,5
world bank,2,3,0,0,0,0,0,5
caused climate,0,0,0,2,1,5,3,11
climate disasters,1,4,1,1,2,0,1,10
climate driven,0,5,0,2,0,0,0,7
climate negotiations,0,7,0,1,0,2,0,10
climate science,1,0,0,1,1,3,0,6
climate talks,0,6,1,2,0,1,0,10
cow dung,0,1,0,0,0,1,0,2
developing nations,0,7,1,0,0,0,0,8
district energy,3,0,0,0,0,0,0,3
energy projects,0,1,1,3,2,0,0,7
gas boilers,3,0,0,0,0,0,0,3
jet stream,0,0,0,1,1,1,1,4
nations climate,1,4,1,3,0,0,0,9
north america,4,3,0,0,1,2,0,10
north carolina,1,2,1,0,1,0,0,5
northern california,1,0,1,3,2,2,0,9
rolling fork,0,0,0,0,0,2,0,2
social media,0,1,1,3,0,5,0,10
stop oil,0,1,0,0,0,0,0,1
turner hide,0,1,0,0,0,0,0,1
arab emirates,0,1,0,3,0,2,0,6
burning fossil,1,2,2,2,0,1,1,9
climate related,1,4,2,0,1,0,0,8
coming decades,0,2,1,3,3,0,0,9
developed countries,1,7,2,0,0,0,0,10
electric vehicle,1,3,2,0,2,0,0,8
emergency management,2,2,0,1,2,0,1,8
extreme storms,0,7,0,2,0,0,0,9
future generations,1,2,2,4,0,0,0,9
gas cooking,0,0,0,3,1,0,0,4
greenhouse gases,1,2,0,2,2,2,0,9
hurricane center,1,3,0,0,0,0,0,4
hurricane fiona,1,1,0,1,0,0,0,3
ice sheet,1,1,0,0,0,0,0,2
letzte generation,0,0,1,1,0,0,0,2
low carbon,1,1,0,1,1,2,0,6
myers beach,1,1,0,0,1,0,0,3
national geographic,0,2,1,0,0,0,0,3
petroleum reserve,1,0,0,0,0,3,0,4
potent greenhouse,0,5,1,2,0,0,1,9
rebecca ramirez,1,2,2,2,0,4,0,11
reduce emissions,0,2,1,2,2,2,1,10
siegler npr,2,0,0,0,2,0,0,4
solar projects,0,0,0,1,1,0,0,2
united arab,0,1,0,3,0,2,0,6
world's largest,0,7,0,1,1,0,1,10
central u.s,1,0,0,0,0,0,0,1
changing climate,1,3,1,2,0,1,0,8
children classes,0,0,0,0,1,0,0,1
climate finance,0,4,0,0,0,0,0,4
coalfield children,0,0,0,0,1,0,0,1
concerned scientists,0,3,0,6,0,0,0,9
consulting firm,0,0,2,0,3,0,0,5
consumer product,0,0,0,4,1,0,0,5
diaa hadid,2,0,0,0,0,0,0,2
environmental protection,0,2,1,3,1,1,1,9
extreme heat,0,3,1,3,0,1,0,8
gas plants,0,0,2,1,0,0,0,3
ghansadih mine,0,0,0,0,1,0,0,1
hadid npr,2,0,0,0,0,0,0,2
heat trapping,1,2,1,2,2,0,0,8
heavy rains,2,1,0,4,0,0,0,7
industrialized countries,0,5,0,0,1,2,0,8
lake powell,0,1,0,1,0,2,0,4
local governments,1,1,0,4,0,2,0,8
local officials,1,3,0,2,2,0,0,8
maya lin,0,1,0,0,0,0,0,1
mississippi river,1,2,0,0,0,0,0,3
mount washington,0,0,0,0,2,0,0,2
navajo nation,0,0,0,0,0,2,0,2
nitrogen dioxide,0,0,0,2,1,0,0,3
offshore wind,0,0,0,1,1,0,0,2
page county,0,0,0,0,1,0,0,1
park service,3,0,1,0,0,0,0,4
pattie gonia,1,0,0,0,0,0,0,1
power outages,0,0,0,3,3,1,0,7
private sector,1,6,1,0,1,0,0,9
product safety,0,0,0,4,1,0,0,5
rainfall records,0,0,0,2,0,0,0,2
reduce greenhouse,0,4,1,2,1,2,0,10
regenerative agriculture,0,1,0,0,0,0,0,1
safety commission,0,0,0,4,1,0,0,5
santa barbara,0,0,0,4,1,1,0,6
severe weather,0,3,0,1,0,0,1,5
steam loop,3,0,0,0,0,0,0,3
supply chain,3,1,0,0,1,3,0,8
tackle climate,1,3,3,1,0,1,1,10
whitebark pine,0,0,0,0,0,1,0,1
wildlife crossing,0,0,1,0,0,0,0,1
alabama political,0,0,1,0,0,0,0,1
antarctic peninsula,0,1,0,0,0,0,0,1
billion dollars,0,2,0,2,3,0,0,7
billion people,0,5,0,0,0,2,0,7
biological diversity,1,0,3,0,0,0,0,4
california department,0,0,0,4,0,1,0,5
climate pollution,0,1,0,0,1,3,0,5
climate summit,1,6,0,1,0,0,0,8
cooking stoves,0,0,0,2,1,0,0,3
cultivated meats,0,1,0,0,0,0,0,1
executive producer,0,4,2,1,1,0,0,8
fatima tuj,0,0,0,0,0,1,0,1
federal agencies,4,0,0,1,0,1,0,6
fire country,0,0,1,0,0,0,0,1
friends school,0,0,0,0,1,0,0,1
global temperatures,1,1,1,1,0,0,2,6
hudson bay,0,0,1,0,0,0,0,1
lead author,1,0,1,2,2,1,0,7
limit global,0,4,1,2,0,2,0,9
loop system,3,0,0,0,0,0,0,3
middle east,1,3,0,2,0,2,0,8
mohamed sadek,0,0,0,1,0,0,0,1
monsoon rains,2,2,0,0,0,1,0,5
oil companies,1,0,0,1,2,0,0,4
pacific ocean,1,2,2,2,1,0,0,8
people living,0,2,1,1,2,0,0,6
private investment,0,3,0,0,0,0,0,3
saint louis,0,1,0,0,1,0,0,2
san bernardino,0,0,0,0,2,1,0,3
santa cruz,0,0,0,5,0,2,0,7
scientists warn,0,4,1,1,1,1,0,8
social cost,0,0,0,0,1,0,0,1
supreme court,1,0,1,1,0,1,0,4
tornado hit,0,1,0,0,0,0,1,2
tuj johora,0,0,0,0,0,1,0,1
u.s government,0,1,1,1,3,1,1,8
vast majority,1,1,2,5,0,0,0,9
weather patterns,1,2,0,2,0,1,1,7
west africa,0,1,0,1,1,1,0,4
wind development,0,0,0,1,1,0,0,2
york city,0,1,0,3,1,1,0,6
address climate,0,1,0,0,2,3,1,7
angeles county,0,0,0,0,2,1,0,3
atlantic coast,1,3,0,0,1,0,0,5
barrier reef,0,2,0,0,0,0,0,2
carbon footprint,3,3,0,1,1,0,0,8
climate impacts,1,3,1,0,1,0,1,7
coal fired,1,1,1,0,1,1,0,5
coal power,0,0,1,0,1,1,0,3
coastal communities,1,1,1,0,2,1,1,7
conspiracy theory,0,0,0,0,0,1,0,1
county calif,0,0,0,1,0,4,0,5
cut greenhouse,1,5,0,0,1,0,0,7
dioxide emissions,1,2,1,0,1,0,1,6
emerging economies,0,4,1,0,1,1,0,7
energy agency,0,0,0,2,2,2,1,7
energy systems,3,0,0,0,0,0,0,3
environmental impact,1,1,2,1,0,2,0,7
flash flooding,1,1,0,3,2,0,0,7
food security,0,3,1,0,0,1,0,5
front lines,0,3,1,0,1,2,1,8
fuel industry,0,2,2,1,0,1,0,6
gavin newsom,0,1,1,2,0,4,0,8
global carbon,1,3,0,0,0,3,0,7
google podcasts,0,0,2,2,0,4,0,8
heavy duty,0,1,1,0,0,0,0,2
john kerry,0,5,0,0,1,1,0,7
julia simon,0,0,0,0,1,2,1,4
local news,1,4,1,1,1,0,0,8
lower carbon,3,1,0,0,1,0,0,5
management agency,2,0,0,1,2,0,1,6
michael kaloki,1,1,0,0,0,0,0,2
montecito calif,0,0,0,1,0,0,0,1
monterey county,0,0,0,1,1,1,1,4
mountain lion,0,0,1,0,0,0,0,1
nathan rott,0,1,1,1,0,2,0,5
national oil,0,0,0,1,0,1,0,2
natural resources,2,3,2,0,0,1,0,8
north slope,0,0,0,0,0,3,0,3
oil company,0,0,0,4,1,1,0,6
paris agreement,0,2,0,0,0,3,0,5
parking lot,0,1,0,3,0,1,0,5
parris island,0,1,0,0,0,0,0,1
peace river,1,0,0,0,0,0,0,1
podcasts spotify,0,5,3,0,0,0,0,8
power grid,1,2,0,2,1,0,0,6
pre industrial,1,3,1,1,0,0,1,7
private investors,0,2,0,0,0,0,0,2
sami yenigun,0,4,1,1,1,0,0,7
santa monica,0,0,1,0,0,0,0,1
severe storms,2,0,1,0,1,1,0,5
terry dunn,0,0,1,0,0,0,0,1
truck manufacturers,0,0,1,0,0,1,0,2
twitter facebook,0,5,3,0,0,0,0,8
van nuys,0,0,1,0,0,0,0,1
warmer temperatures,0,2,1,3,1,1,0,8
water level,0,3,0,0,1,1,0,5
water scarcity,0,1,0,0,0,2,1,4
water supplies,1,2,0,1,1,2,0,7
weeks ago,3,0,2,0,0,1,0,6
west valley,0,0,0,0,3,0,0,3
whale deaths,0,0,0,0,1,0,0,1
wind turbines,0,1,1,1,2,0,0,5
world heritage,0,2,0,0,0,0,0,2
world resources,1,6,0,0,0,0,1,8
yellowhammer news,0,0,1,0,0,0,0,1
alaska native,0,0,3,0,0,2,0,5
alex hager,1,1,0,1,0,0,0,3
annenberg wildlife,0,0,1,0,0,0,0,1
annual climate,0,7,0,0,0,0,0,7
antonio guterres,0,4,1,0,0,1,0,6
associate professor,0,0,1,4,0,1,1,7
audio engineer,1,0,2,0,0,4,0,7
barrier islands,2,2,0,0,0,0,0,4
carbon credits,0,3,0,0,0,0,0,3
carbon neutral,0,2,1,2,0,0,0,5
carving team,0,1,0,0,0,0,0,1
change conference,1,4,0,0,0,0,0,5
civil rights,0,1,0,2,0,0,1,4
clean air,3,0,1,0,0,1,0,5
climate legislation,0,1,0,0,0,2,1,4
climate policies,1,1,1,1,0,0,0,4
climate warming,0,2,3,1,0,0,0,6
cold weather,0,0,0,2,3,0,0,5
considerthis npr.org,0,4,1,1,1,0,0,7
countries including,0,3,0,1,0,3,0,7
developing world,0,4,1,0,1,1,0,7
dhabi national,0,0,0,1,0,1,0,2
drop electric,0,5,2,0,0,0,0,7
dust storms,0,0,1,0,2,0,0,3
emission vehicles,0,0,0,0,0,2,0,2
emperor penguins,1,0,0,0,0,0,0,1
environmental justice,0,0,0,1,1,2,1,5
environmental social,0,0,4,0,0,0,1,5
equatorial guinea,0,0,0,0,0,1,0,1
esg investing,0,0,5,0,0,0,0,5
facebook newsletter,0,5,2,0,0,0,0,7
farm bill,0,0,0,1,0,0,1,2
fastest growing,1,0,0,0,4,0,0,5
flood forecasting,0,0,0,0,0,1,0,1
flood prone,1,0,0,2,1,1,0,5
florida politics,0,0,1,0,0,0,0,1
free episodes,0,5,2,0,0,0,0,7
fuel prices,2,1,0,0,1,0,0,4
future climate,0,2,0,1,1,1,0,5
future storms,2,0,0,2,1,0,0,5
gas operations,0,3,0,0,0,0,0,3
gas prices,1,1,2,0,0,0,0,4
heat wave,0,2,0,1,0,1,0,4
hurricane katrina,1,1,0,0,0,0,0,2
ice carving,0,1,0,0,0,0,0,1
indigenous communities,0,0,2,0,0,2,1,5
